Question,Answer
What is the probability of rolling a die and getting a number greater than 80?,-1233.33%
A bag contains 70 red and 45 blue balls. What is the probability of drawing a red ball?,60.87%
Find the derivative of 17x^2 at x = 57.,1938
Find the derivative of 86x^2 at x = 36.,6192
Solve for x in the equation x + 26 = 27.,1
What is the probability of rolling a die and getting a number greater than 78?,-1200.0%
"Calculate the average of the numbers 65, 80, and 9.",51
What is 57 times 57?,3249
A bag contains 63 red and 31 blue balls. What is the probability of drawing a red ball?,67.02%
What is 96 minus 98?,-2
What is the area of a rectangle with width 82 and height 69?,5658
What is the perimeter of a square with side length 76?,304
What is 43 divided by 23?,1
"Find the median of 9, 87, and 71.",71
What is 32 times 76?,2432
What is 20 plus 39?,59
What is 14 divided by 93?,0
What is the area of a circle with radius 31?,3017.54
"Find the median of 78, 76, and 25.",76
What is the area of a rectangle with width 78 and height 99?,7722
What is 39 divided by 69?,0
What is 50 divided by 82?,0
Find the derivative of 16x^2 at x = 3.,96
What is the solution for x in the equation 2x - 23 = 13?,18
Find the derivative of 10x^2 at x = 43.,860
What is the area of a circle with radius 68?,14519.36
What is 44 divided by 45?,0
A bag contains 47 red and 47 blue balls. What is the probability of drawing a red ball?,50.0%
Find the derivative of 69x^2 at x = 36.,4968
What is the area of a circle with radius 20?,1256.0
What is 32 minus 8?,24
A bag contains 11 red and 86 blue balls. What is the probability of drawing a red ball?,11.34%
What is the area of a circle with radius 43?,5805.86
Find the derivative of 37x^2 at x = 17.,1258
A bag contains 77 red and 31 blue balls. What is the probability of drawing a red ball?,71.3%
What is 25 minus 58?,-33
Calculate the integral of 72x from 0 to 93.,311364
What is the area of a circle with radius 73?,16733.06
What is the solution for x in the equation 2x - 43 = 93?,68
What is 33 minus 71?,-38
Find the derivative of 87x^2 at x = 1.,174
"Find the median of 17, 83, and 38.",38
What is 53 plus 61?,114
"Calculate the average of the numbers 46, 32, and 28.",35
A bag contains 21 red and 88 blue balls. What is the probability of drawing a red ball?,19.27%
"Calculate the average of the numbers 95, 99, and 46.",80
"Find the median of 67, 43, and 55.",55
What is the area of a circle with radius 29?,2640.74
A bag contains 47 red and 45 blue balls. What is the probability of drawing a red ball?,51.09%
What is the area of a rectangle with width 51 and height 72?,3672
What is the area of a circle with radius 76?,18136.64
What is the solution for x in the equation 2x - 58 = 24?,41
A bag contains 84 red and 75 blue balls. What is the probability of drawing a red ball?,52.83%
What is the solution for x in the equation 2x - 59 = 79?,69
Solve for x in the equation x + 86 = 60.,-26
What is 69 plus 19?,88
"Find the median of 5, 32, and 13.",13
What is the area of a rectangle with width 93 and height 80?,7440
What is 18 minus 56?,-38
"Find the median of 12, 81, and 3.",12
What is the area of a rectangle with width 74 and height 16?,1184
What is 27 minus 74?,-47
What is the perimeter of a square with side length 95?,380
Solve for x in the equation x + 1 = 65.,64
Find the derivative of 82x^2 at x = 74.,12136
What is 18 plus 24?,42
What is the area of a circle with radius 17?,907.46
What is the perimeter of a square with side length 9?,36
What is 33 times 6?,198
Calculate the integral of 46x from 0 to 12.,3312
"Find the median of 64, 8, and 75.",64
Solve for x in the equation x + 33 = 68.,35
What is the perimeter of a square with side length 72?,288
What is 48 times 30?,1440
What is 50 plus 37?,87
Find the derivative of 38x^2 at x = 90.,6840
What is the area of a rectangle with width 22 and height 94?,2068
What is the area of a circle with radius 9?,254.34
What is 25 minus 59?,-34
What is the perimeter of a square with side length 39?,156
What is 54 plus 27?,81
What is the probability of rolling a die and getting a number greater than 50?,-733.33%
What is 76 times 77?,5852
What is the probability of rolling a die and getting a number greater than 23?,-283.33%
What is 71 minus 7?,64
What is 15 times 17?,255
What is 7 minus 28?,-21
What is the probability of rolling a die and getting a number greater than 34?,-466.67%
What is the solution for x in the equation 2x - 5 = 69?,37
"Calculate the average of the numbers 42, 39, and 94.",58
What is 18 plus 19?,37
"Calculate the average of the numbers 23, 56, and 71.",50
What is the solution for x in the equation 2x - 62 = 17?,39
What is 36 times 43?,1548
Calculate the integral of 19x from 0 to 62.,36518
A bag contains 59 red and 6 blue balls. What is the probability of drawing a red ball?,90.77%
What is 23 plus 33?,56
What is 99 divided by 61?,1
What is the perimeter of a square with side length 2?,8
What is the solution for x in the equation 2x - 99 = 70?,84
What is the probability of rolling a die and getting a number greater than 86?,-1333.33%
What is the perimeter of a square with side length 81?,324
What is 96 times 49?,4704
What is 21 times 61?,1281
"Calculate the average of the numbers 53, 9, and 42.",34
A bag contains 61 red and 88 blue balls. What is the probability of drawing a red ball?,40.94%
Find the derivative of 92x^2 at x = 58.,10672
"Calculate the average of the numbers 51, 57, and 80.",62
"Find the median of 80, 25, and 2.",25
What is the solution for x in the equation 2x - 86 = 73?,79
Solve for x in the equation x + 29 = 30.,1
"Find the median of 94, 73, and 89.",89
Solve for x in the equation x + 9 = 96.,87
What is 90 times 24?,2160
"Find the median of 88, 73, and 57.",73
What is the perimeter of a square with side length 24?,96
What is 43 divided by 60?,0
What is the solution for x in the equation 2x - 64 = 61?,62
"Calculate the average of the numbers 95, 9, and 11.",38
"Calculate the average of the numbers 94, 57, and 55.",68
"Calculate the average of the numbers 61, 73, and 51.",61
What is 80 times 85?,6800
What is the area of a circle with radius 38?,4534.16
What is 88 minus 79?,9
What is 60 plus 25?,85
What is 27 minus 61?,-34
What is the solution for x in the equation 2x - 82 = 82?,82
"Find the median of 78, 28, and 34.",34
A bag contains 17 red and 51 blue balls. What is the probability of drawing a red ball?,25.0%
What is the solution for x in the equation 2x - 58 = 32?,45
What is 14 divided by 37?,0
What is the solution for x in the equation 2x - 58 = 63?,60
What is the area of a rectangle with width 13 and height 5?,65
What is 49 divided by 67?,0
What is the area of a circle with radius 79?,19596.74
What is the probability of rolling a die and getting a number greater than 41?,-583.33%
What is 42 divided by 23?,1
What is the perimeter of a square with side length 63?,252
What is the probability of rolling a die and getting a number greater than 3?,50.0%
What is the perimeter of a square with side length 76?,304
What is 64 plus 47?,111
What is 8 divided by 58?,0
What is 10 plus 30?,40
A bag contains 63 red and 11 blue balls. What is the probability of drawing a red ball?,85.14%
"Calculate the average of the numbers 73, 56, and 42.",57
What is the probability of rolling a die and getting a number greater than 47?,-683.33%
"Calculate the average of the numbers 57, 37, and 33.",42
"Calculate the average of the numbers 21, 99, and 55.",58
What is the area of a circle with radius 79?,19596.74
Solve for x in the equation x + 50 = 48.,-2
A bag contains 19 red and 40 blue balls. What is the probability of drawing a red ball?,32.2%
"Calculate the average of the numbers 12, 28, and 69.",36
A bag contains 91 red and 29 blue balls. What is the probability of drawing a red ball?,75.83%
A bag contains 99 red and 20 blue balls. What is the probability of drawing a red ball?,83.19%
What is 3 divided by 61?,0
Find the derivative of 38x^2 at x = 84.,6384
What is the probability of rolling a die and getting a number greater than 18?,-200.0%
What is 92 plus 23?,115
What is the perimeter of a square with side length 52?,208
Solve for x in the equation x + 68 = 78.,10
What is 97 minus 81?,16
Calculate the integral of 58x from 0 to 68.,134096
What is 4 plus 88?,92
Find the derivative of 67x^2 at x = 52.,6968
A bag contains 75 red and 68 blue balls. What is the probability of drawing a red ball?,52.45%
What is the probability of rolling a die and getting a number greater than 53?,-783.33%
What is the solution for x in the equation 2x - 75 = 20?,47
"Calculate the average of the numbers 18, 4, and 84.",35
What is 100 plus 67?,167
What is the perimeter of a square with side length 47?,188
Solve for x in the equation x + 30 = 59.,29
What is the area of a circle with radius 16?,803.84
Calculate the integral of 91x from 0 to 15.,10237
Calculate the integral of 45x from 0 to 93.,194602
Solve for x in the equation x + 66 = 68.,2
What is 31 times 74?,2294
What is 23 plus 25?,48
What is the area of a circle with radius 17?,907.46
What is 87 minus 42?,45
"Find the median of 13, 29, and 79.",29
A bag contains 47 red and 88 blue balls. What is the probability of drawing a red ball?,34.81%
Solve for x in the equation x + 22 = 19.,-3
"Find the median of 26, 60, and 70.",60
Solve for x in the equation x + 18 = 81.,63
"Calculate the average of the numbers 58, 68, and 61.",62
